Does Andrea finish her homework?;Andrea finishes her homework;Andrea fiinishs her homework;Andrea finish her homework;Andrea does finish her homework;2;1;This is not the correct answer;
Do we need to earn money?;We need to earn money;We needs to eran money;We needes to earn money;We needed to earn money;2;1;This is not the correct answer;
Is he having breakfast?;He is having breakfast;He does having breakfast;He is haveing breakfast;He is having not breakfast;2;1;This is not the correct answer;
Is she making the bed?;She's making the bed;She're making the bed;She'll be making the bed;She's make the bed;2;1;This is not the correct answer;
Do you want to study english?;I want to study english;I wants to study english;I wantes to study english;I want study english;2;1;This is not the correct answer;
Is Lina the most beautiful?;Lina is the most beautiful;Lina are the most beautiful;Lina will be the most beautiful;Lina was the most beautiful;2;1;This is not the correct answer;
Did Dilan do the task?;Dilan did the task;Dilan did do the task;Dilan didn't did the task;Dilan do the task;2;1;This is not the correct answer;
Will my sister buy the notebooks?;She'll buy the notebooks;She'll buy the notebook;She's buy the notebook;She're buy the notebook;2;1;This is not the correct answer;
Do they think to study?;They think to study;They think study;They thinks to study;They thinkes to study;2;1;This is not the correct answer;
Did you cut the grass?;I cut the grass;I cutted the grass;I cuted the grass;I did cutted the grass;2;1;This is not the correct answer;
Does he call her father?;He calls her father;He call her father;He does call her father;He do call her father;2;1;This is not the correct answer;
"My sister Susan _____ a party in the backyard on the weekend, she cooked a delicious chocolate cake and she prepared a lot of lemonade and some cheese snacks , near to the swimming pool, she placed some chairs and tables for the guesses; over the tables she put two dishes with candies and soda and also bought some beers. It was an amazing party.";Organized;Organizes;Organizies;Organize;3;1;This is not the correct word;
"My sister susan organized a party in the back yard on the weekend, she ____ a delicious chocolate cake and she prepared a lot of lemonade and some cheese snacks , near to the swimming pool, she placed some chairs and tables for the guesses; over the tables she put two dishes with candies and soda and also bought some beer. It was an amazing party.";Cooked  ;Cookes;Cookies;Cook;3;1;This is not the correct word;
"My sister Susan organized a party in the back yard on the weekend, she cooked a delicious chocolate cake and she ____ a lot of lemonade and some cheese snacks , near to the swimming pool, she placed some chairs and tables for the guesses; over the tables she put two dishes with candies and soda and also bought some beer. It was an amazing party.";Prepared;Prepares;Prepare;Preparies;3;1;This is not the correct word;
"My sister Susan organized a party in the back yard on the weekend, she cooked a delicious chocolate cake and she prepared a lot of lemonade and some cheese snacks , near to the swimming pool, she ____some chairs and tables for the guesses; over the tables she put two dishes with candies and soda and also bought some beer. It was an amazing party.";Placed;Places;Placied;Place;3;1;This is not the correct word;
"My sister susan organized a party in the back yard on the weekend, she cooked a delicious chocolate cake and she prepared a lot of lemonade and some cheese snacks , near to the swimming pool, she place some chairs and tables for the guesses; over the tables she ____ (put) two dishes with candies and soda and also bought some beer. It was an amazing party.";Put;Puts;Putes;Puted;3;1;This is not the correct word;
"My sister Susan organized a party in the back yard on the weekend, she cooked a delicious chocolate cake and she prepared a lot of lemonade and some cheese snacks , near to the swimming pool, she placed some chairs and tables for the guesses; over the tables she put two dishes with candies and soda and also ____some beer. It was an amazing party.";Bought;Buy;Buies;Buys;3;1;This is not the correct word;
"My sister Susan organized a party in the back yard on the weekend, she cooked a delicious chocolate cake and she prepared a lot of lemonade and some cheese snacks , near to the swimming pool, she placed some chairs and tables for the guesses; over the tables she put two dishes with candies and soda and also bought some beer. It ____ an amazing party.";Was;Were;Is;Are;3;1;This is not the correct word;
My brother  _______in his room some videogames, almost every day we both  play them, so we  enjoy our free time after  we do our homework.;Has;Haves;Haved;Haves;3;1;This is not the correct word;
My brother  has in his room some videogames, almost every day we both  _______them, so we  enjoy our free time after  we  do our homework.;Play;Plays;Plaies;Playes;3;1;This is not the correct word;
My brother  has in his room some videogames, almost every day we both  play them, so we  _______our free time after  we do our homework.;Enjoy;Enjoies;Enjoyed;Enjoys;3;1;This is not the correct word;
My brother  has in his room some videogames, almost every day we both  play them, so we  enjoy our free time after  we  _______our homework.;Do;Does;Did;Dos;3;1;This is not the correct word;
I  _______Jake and i  am the youngest of my family, my sister  is eighteen years old and mom and dad  are forty three years old.;Am;Is;Are;Was;3;1;This is not the correct word;
I  am Jake and i  _______the youngest of my family, my sister  is eighteen years old and mom and dad  are forty three years old.;Am;Are;Is;Were;3;1;This is not the correct word;
I  am Jake and i  am the youngest of my family, my sister  _______eighteen years old and mom and dad  are forty three years old.;Is;Am;Are;Was;3;1;This is not the correct word;
I  am Jake and i  am the youngest of my family, my sister  is eighteen years old and mom and dad  _______forty three years old.;Are;Is;Are;Were;3;1;This is not the correct word;
My mother  _______an apple pie for tonight’s dinner, we   are all  anxious about the pie, it  looks  so delicious and it  smells  so nice. ;Cooked  ;Cooks;Cookies;Cookes;3;1;This is not the correct word;
My mother  cooked  an apple pie for tonight’s dinner, we  _______all anxious about the pie, it  looks  so delicious and it  smells  so nice. ;Are;Is;Am;Were;3;1;This is not the correct word;
My mother  cooked  an apple pie for tonight’s dinner, we are all  anxious about the pie, it  _______so delicious and it smells so nice. ;Looks;Looked;Lookes;Lookies;3;1;This is not the correct word;
My mother  cooked  an apple pie for tonight’s dinner, we are all   anxious about the pie, it  looks  so delicious and it  _______so nice. ;Smells;Smelled;Smellied;Smell;3;1;This is not the correct word;
Yesterday Thomas _________ in the house;Was;Want;Works;Clean;3;1;This is not the correct word;
The kitchen ________ too dirty, ;Is;There;Are;Study;3;1;This is not the correct word;
He was _________him;Helping;Help;Helped;Helps;3;1;This is not the correct word;
My father told me that I ____ to wash the car;Have;Has;Haves;Haved;3;1;This is not the correct word;
Are you _____ to sweep the house?;Trying;Tryes;Tries;Trys;3;1;This is not the correct word;
The cat ____ in the dinning room;Is;Are;Be;Will;3;1;This is not the correct word;
My father and my mother _____ talking to their friends in the garage;Are;Is;Be;Will;3;1;This is not the correct word;
The dogs _____ running at the garden;Are;Was;Is;Be;3;1;This is not the correct word;
There ______ two trees in front of the house;Are;Will;Be;Is;3;1;This is not the correct word;
My father _____ working yesterday morning;Was;Were;Is;Are;3;1;This is not the correct word;
My sister______ washing the dishes next week;Will be;Are;Is;Were;3;1;This is not the correct word;
My sister´s friends _______ in a house party last night;Were;Was;Is;Are;3;1;This is not the correct word;
I_____ studying to present the exam last week;Was;Were ;Am;Be;3;1;This is not the correct word;
Mad _______ cleaning the house;Is;Are;Will;Be;3;1;This is not the correct word;
My friends _____ playing with me in tomorrow´s soccer match;Will be;Will;Be;Are;3;1;This is not the correct word;
My father _____ the car in the garage;Parks;Parking;Parkied;Parkies;3;1;This is not the correct word;
There ____________pencils on the table;Are;Am ;Have;Is ;3;1;This is not the correct word;
Night/we/were/tv/watching/last;We were watching tv last night;We were watching tv night last;Last we were night watching tv;Night were we watching tv last;4;1;It´s not the correct structure;
Will/you/having/be/lunch;You will be having lunch;You be will having lunch;Lunch having you will be;Will you be lunch having;4;1;It´s not the correct structure;
Is/she/friends/her/talking/to;She is talking to her friends;Talking is she to her friends;She talking is to her friends;She is talking her friends to;4;1;It´s not the correct structure;
Lina/working/are/Jessika/together;Lina and Jessika are working together;Lina are working and Jessika together;Lina and Jessika are together working;Jessika and Lina working are together;4;1;It´s not the correct structure;
There/cars/in/the/parking lot/are;There are cars in the parking lot;Cars there are in the parking lot;Parking lot there are cars in the;There are in the parking lot cars;4;1;It´s not the correct structure;
Will/be/there/a/bird/flaying;There will be a bird flying;There be will a bird flying;Will be there a bird flying;There will be bird a flying;4;1;It´s not the correct structure;
Does/the/homework/she;She does the homework;Does she the homework;The homework does she;She does homework the;4;1;It´s not the correct structure;
They/tonight/will/dance/salsa;They will dance salsa tonight;Will dance they salsa tonight ;Tonight they will salsa dance;They salsa will dance tonight;4;1;It´s not the correct structure;
My/dog/pizza/eats;My dog eats pizza;Dog my eats pizza ;Dog eats pizza my;Pizza my dog eats;4;1;It´s not the correct structure;
Is/sleeping/on/the/bed/my/son;My son is sleeping  on the bed;On the bed is sleeping son my;My son is sleeping the on bed;Is son my sleeping on the bed;4;1;It´s not the correct structure;
Am/swimming/in/the/pool/I;I am swimming in the pool;Swimming I am in the pool;In the I am pool swimming;I am the in pool swimming;4;1;It´s not the correct structure;
My/drinking/wine/friends/are;My friends are drinking wine;Wine my friends are drinking;Wine drinking are my friends;Are wine drinking  my friends;4;1;It´s not the correct structure;
Dilan/is/english/studying;Dilan is studying english;Studying is Dilan english;English Dilan studying is;Is studying english Dilan;4;1;It´s not the correct structure;
Jessika/cooking/chicken/is;Jessika is cooking chicken;Is Jessika chicken ooking;Cooking is chicken Jessika;Jessika chicken cooking is;4;1;It´s not the correct structure;
Will/be/there/playing/child/soccer/a;There will be a child playing soccer;Child there be will a playing soccer;Soccer playing will be there a child;There be will a child playing soccer;4;1;It´s not the correct structure;
The / is / the / dog/ in / house;The dog is in the house;Is the dog the house;Is the house in the dog ;The dogs is in the house ;4;1;It´s not the correct structure;
 window / being / mom / the / cleaned / my /  by / is;The window is being cleaned by my mom;Is cleaned being the window by my mom ;The window being is cleaned by my mom;My mom is cleaned being by the window;4;1;It´s not the correct structure;
My / mom/ wants / that / i / clean/ the / cook / for  / weeks / four;My mom wants that I clean the cook four weeks;I clean four weeks that my mom wants cook the ;I couldn’t  clean the cook for four weeks;Doctor couldn’t the cook play for four week;4;1;It´s not the correct structure;
Sandwich / to / want / she / ham / did / not / in / her / room;She did not want a ham sandwich in her room;She didn’t wanted a ham sandwich in her room;She not did want a ham sandwich room in her;She did not a want ham sandwich her in room ;4;1;It´s not the correct structure;
 anything / eat/ do / drink/ like / or / to / you / ?;Do you like anything to eat or drink?;Do like you anything eat or drink to?;You do like anything eat to or drink?;You like do anything to eat or drink?;4;1;It´s not the correct structure;
  a / black / in  / fitting room / the / pant / is / there;There is a pant black on the fitting room;In fitting room in black there is the pant ;There on is pant black in the fitting room;There is  black pant in the fitting room ;4;1;It´s not the correct structure;
 Juan / run (ing) / room / was / his / in / the /last week;Juan was running in his room the last week;Juan running was in him room the last week;Juan was running in him room the last week;Was running Juan in room him last the week;4;1;It´s not the correct structure;
 I / not / studying / with / maria / am / ;I am not studying with maria ;With maria I not am studing;I amn’t studing with maria;I not am studing with maria;4;1;It´s not the correct structure;
 do / exercise / the  / you / the / did / english;Did you do the english exercise?;Do you did the exercise the english?;You did do the exercise the english?;The exercise did you do the you?;4;1;It´s not the correct structure;
 put / on / book / Juan / the / his / table;Juan put the book on his table ;The book Juan on him table put;Juan put on book the him table;Put on him book Juan the table ;4;1;It´s not the correct structure;
 rats / in / of / Lina / there / room / are / the / not;In the room of Lina there are not rats ;In of room the Lina there are not rats ;In the room of Lina there not are rats;In the room of Lina not there are rats;4;1;It´s not the correct structure;
 who / the / barista / is / ?;Who is the barista?;Is who the barista?;Who is barista the?;The who is barista?;4;1;It´s not the correct structure;
 the / I /  like / of / kitchen / house / my;I like the kitchen of my house;My like the cook of I house ;I like of cook the my house;My like of cook the I house;4;1;It´s not the correct structure;
 red / is / mine / car / is / and / in / the / garage / my;The red car is mine and is in my garage;The red car is mine and is in the my garage;The car red mine is and the garage in is my;The car red is mine and in the my garage is ;4;1;It´s not the correct structure;
 was / red / the / bougtht / by / me / table;The red table was bought by me;Was the table red boutht me by;The red table boutht was by me ;The table red was boutht by me;4;1;It´s not the correct structure;
 not / will / there / a / second / in / house / be / floor / my;There will not be a second floor in my house;The not will be a flour second in my house;There not be will a second floor in my house;Will there not be a second floor in my house;4;1;It´s not the correct structure;
 mom / bought / my / black / lamp / yesterday / beautiful / a ;My mom bought a beautiful black lamp yesterday;My mom buy a beautiful black lamp yesterday;My mom bought a lamp beautiful black yesterday;My mom buy yesterday a beautiful black lamp ;4;1;It´s not the correct structure;
 you / did / homework / the / do / the / in / room ;Did you do the homework in the room?;You did do the homework in the room?;Do you the homework did in the room?;Did do the homework you in the room?;4;1;It´s not the correct structure;
  am / with / kitchen / victoria / in / I / speaking/ the;I’m speaking with victoria in the kitchen ;I am speaking with victoria in the cook ;An victoria speaking with I in the cook ;Victoria am speaking with I in the cook ;4;1;It´s not the correct structure;
 in / were / opened / my / doors / house / there ;Were there opened doors in my house?;Where open there doors in my house?;There were doors open in my house?;There were open doors in my house?;4;1;It´s not the correct structure;
Are/on/street/they/running;They are running on the street;Are running they on street the;The are they running on the street;Are they street running on the;4;1;It´s not the correct structure;
Is there a person at home?;There are two people at home;There isn't a person at home;There are people at home;There is a person at home;5;1;This is not the correct answer from the video;casa_1
Is there a television in the house?;There is a television in the house;There is not a television in the house;There are televisions in the house;There are three televisions at home;5;1;This is not the correct answer from the video;casa_1
Is there a home theater in the living room?;There is a home theater in the living room;There is not a home theater in the living room;There are home theaters in the living room;There isn't any home theater in the living room;5;1;This is not the correct answer from the video;casa_1
Is the first person opening the door?;The first person is opening the door;The first person is not opening the door;The first person is closing the door;The first person is not opening any door;5;1;This is not the correct answer from the video;casa_1
After few seconds is the television on?;After few seconds the television is on;After few seconds the television is off;After few seconds there is not a television;After few seconds the television is not there;5;1;This is not the correct answer from the video;casa_1
Is there a person typing?;There is a person typing;There is not a person typing;There are people typing;There aren't any people typing;5;1;This is not the correct answer from the video;casa_1
Are there bulbs on?;There are bulbs on;There are not bulbs on;There is not a bulb on;There is a bulb on;5;1;This is not the correct answer from the video;casa_1
Are the women closing the doors?;The women are closing the doors;The women are not closing the doors;The woman is closing the doors;The woman are closing the doors;5;1;This is not the correct answer from the video;casa_1
Is there a jar on the table?;There is a jar on the table;There is not a jar on the table;There is not any jar on the table;There are jars on the tables;5;1;This is not the correct answer from the video;casa_1
Does the person have a ring in the finger?;The person has a ring in the finger;The person doesn't have a ring in the finger;The person has a lot of rings in the finger;The person doesn't have any ring in the finger;5;1;This is not the correct answer from the video;casa_1
Are there furniture in the house?;There are furniture in the house;There are not furniture in the house;There are not any furniture in the house;There is a furniture in the house;5;1;This is not the correct answer from the video;casa_1
Is there a plant in the living room?;There is a plant in the living room;There is not a plant in the living room;There are plants in the living room;There are five plants in the living room;5;1;This is not the correct answer from the video;casa_1
Are there paintings in the wall?;There are paintings in the wall;There aren't paintings in the wall;There are ten paintings in the wall;There are not any paintings in the wall;5;1;This is not the correct answer from the video;casa_1
House;Casa;Blanco;Dos;Piso;6;1;This is not the correct answer from the audio;house
White;Blanco;Tener;Piso;Árbol;6;1;This is not the correct answer from the audio;white
Have;Tener;Dos;Árbol;Alrededor;6;1;This is not the correct answer from the audio;have
Two;Dos;Piso;Alrededor;Nuevo;6;1;This is not the correct answer from the audio;two
Floor;Piso;Árbol;Nuevo;Este, esta;6;1;This is not the correct answer from the audio;floor
Tree;Árbol;Alrededor;Este, esta;Ventana;6;1;This is not the correct answer from the audio;tree
Around;Alrededor;Nuevo;Ventana;Grande;6;1;This is not the correct answer from the audio;around
New;Nuevo;Este, esta;Grande;Ciudad;6;1;This is not the correct answer from the audio;new
This;Este, esta;Ventana;Ciudad;Piscina;6;1;This is not the correct answer from the audio;this
Window;Ventana;Grande;Piscina;Cuarto;6;1;This is not the correct answer from the audio;window
Big;Grande;Ciudad;Cuarto;Pasto;6;1;This is not the correct answer from the audio;big
City;Ciudad;Piscina;Pasto;Hermoso;6;1;This is not the correct answer from the audio;city
Pool;Piscina;Cuarto;Hermoso;Animal;6;1;This is not the correct answer from the audio;pool
Room;Cuarto;Pasto;Animal;Afuera;6;1;This is not the correct answer from the audio;room
Grass;Pasto;Hermoso;Afuera;Gente;6;1;This is not the correct answer from the audio;grass
Beautiful;Hermoso;Animal;Gente;Carro;6;1;This is not the correct answer from the audio;beautiful
Animal;Animal;Afuera;Carro;Chimenea;6;1;This is not the correct answer from the audio;animal
Outside;Afuera;Gente;Chimenea;Volar;6;1;This is not the correct answer from the audio;outside
People;Gente;Carro;Volar;Sobre;6;1;This is not the correct answer from the audio;people
Car;Carro;Chimenea;Sobre;Pájaro;6;1;This is not the correct answer from the audio;car
Chimney;Chimenea;Volar;Pájaro;Baño;6;1;This is not the correct answer from the audio;chimney
Fly;Volar;Sobre;Baño;Pequeño;6;1;This is not the correct answer from the audio;fly
Above;Sobre;Pájaro;Pequeño;Taza del baño;6;1;This is not the correct answer from the audio;above
Bird;Pájaro;Baño;Taza del baño;Lava manos;6;1;This is not the correct answer from the audio;bird
Bathroom;Baño;Pequeño;Lava manos;Pantuflas;6;1;This is not the correct answer from the audio;bathroom
Small;Pequeño;Taza del baño;Pantuflas;Cuarto de dormir;6;1;This is not the correct answer from the audio;small
Toilet;Taza del baño;Lava manos;Cuarto de dormir;Cama;6;1;This is not the correct answer from the audio;toilet
Sink;Lava manos;Pantuflas;Cama;Silla;6;1;This is not the correct answer from the audio;sink
Slippers;Pantuflas;Cuarto de dormir;Silla;Almohada;6;1;This is not the correct answer from the audio;slippers
Bedroom;Cuarto de dormir;Cama;Almohada;Lámpara;6;1;This is not the correct answer from the audio;bedroom
Bed  ;Cama;Silla;Lámpara;Tapete;6;1;This is not the correct answer from the audio;bed  
Chair;Silla;Almohada;Tapete;Espejo;6;1;This is not the correct answer from the audio;chair
Pillow;Almohada;Lámpara;Espejo;Comedor;6;1;This is not the correct answer from the audio;pillow
Lamp;Lámpara;Tapete;Comedor;Mesa;6;1;This is not the correct answer from the audio;lamp
Rug;Tapete;Espejo;Mesa;Cuadro;6;1;This is not the correct answer from the audio;rug
Mirror;Espejo;Comedor;Cuadro;Viejo;6;1;This is not the correct answer from the audio;mirror
Are there flowers in the kitchen?;There are flowers in the kitchen;There aren't flowers in the kitchen;There is a flower in the kitchen;There are thousands of flowers in the kitchen;1;2;It is not the correct description;7
Is the kitchen ugly?;The kitchen isn't ugly;The kitchen is broken;The kitchen is too old;The kitchen is not beautiful;1;2;It is not the correct description;7
Does the kitchen have a stove?;The kitchen has a stove;The kitchen hasn't a stove;The kitchen doesn't have a stove;The kitchen has two stoves;1;2;It is not the correct description;7
Is there a dishwasher in the kitchen?;There is a dishwasher in the kitchen;There isn't a dishwasher in the kitchen;There are two dishwashers in the kitchen;There are three dishwashers in the kitchen;1;2;It is not the correct description;7
Is there a coffee pot on the table?;There is a coffee pot on the table;There isn't a coffee pot on the table;There are twelve coffee pots on the table;There are six coffee pots on the table;1;2;It is not the correct description;7
Is there a cupboard in the kitchen?;There is a cupboard in the kitchen;There are cupboards in the kitchen;There isn't a cupboard in the kitchen;There are fifteen cupboards;1;2;It is not the correct description;7
Is there a toaster on the table?;There is a toaster on the table;There isn't a toaster on the table;There are notebooks on the table;There is a book on the table;1;2;It is not the correct description;7
Are there two lamps above the table?;There are two lamps above the table;There twenty lamps above the table;There are a lot of lamps above the table;There are four lamps above the table;1;2;It is not the correct description;7
Is there a car in the garage?;There is a car in the garage;There are two cars in the garage;There are three cras in the garage;There isn't a car in the garage;1;2;It is not the correct description;8
Are there tools in the garage?;There are tools in the garage;There aren't tools in the garage ;There is tools in the garage;There isn't tools in the garage;1;2;It is not the correct description;8
Is there  a wheelbarrow in the garage?;There is a wheelbarrow in the garage;There are three wheelbarrows in the garage;There isn't a wheelbarrow in the garage;There aren't wheelbarrows in the garage;1;2;It is not the correct description;8
Is there a shovel in the garage?;There is a shovel in the garage;There isn't a shovel in the garage;There aren't shovels in the garage;There are first shovel in the garage;1;2;It is not the correct description;8
Is there a cat on the car?;There is a  cat on the car;There are cats on the car;There two cats on the car;There isn't a car in the garage;1;2;It is not the correct description;8
Is there a rake in the garage?;There is a rake in the garage;There isn't a rake in the garage;There are rakes in the garage;There are thirty rakes in the garage;1;2;It is not the correct description;8
Is there  a saw holding in the wall?;There is a saw holding in the wall;There isn't a saw holding in the wall;There are saws holding in the wall;There are two saws holding in the wall;1;2;It is not the correct description;8
Are there  buckets in the garage?;There are  buckets in the garage;There aren't buckets in the garage;There are forty buckets in the garage ;There are any buckets in the garage;1;2;It is not the correct description;8
Is there dust in all the garage?;There is dust in all the garage;There isn't dust in all the garage;There are dust in all the garage;There are dusts in all the garage;1;2;It is not the correct description;8
Is there a  pool in my backyard;There is a pool in the backyard;There are pools in my backyard;There isn't a pool in the backyard;There fifty pools in my backyard;1;2;It is not the correct description;9
Are there palms in the backyard?;There are palms in the backyard;There aren't palms in the backyard;There is a palm in the backyard;There is palms in the backyard;1;2;It is not the correct description;9
Are there trees in the backyard?;There are trees in the backyard;There aren't trees in the backyard;There is a tree in the backyard;There are two trees in the backyard;1;2;It is not the correct description;9
Is this backyard so small?;This backyard isn't so small;This backyard is small;This backyard is ugly;This backyard is so small;1;2;It is not the correct description;9
